"Informazioni cronologiche","Qual è la tua età?","In che regione vivi?","In che zona abiti?","Con quale genere ti identifichi?","Da quanti componenti è formato il tuo nucleo familiare?","Qual è la tua professione?","Consumi prodotti ittici?","Per quale motivo non consumi prodotti ittici?","Quanto spesso consumi prodotti ittici?","Che tipo di prodotti ittici consumi più frequentemente in casa?","Quanto tempo dedichi mediamente alla preparazione dei pasti durante la giornata?","Solitamente ti occupi tu della spesa nella tua famiglia?","Dove acquisti più spesso i tuoi prodotti ittici? (Puoi selezionare più opzioni) ","Quanto saresti disposto a spendere per un prodotto ittico di alta qualità (es. burger di pesce gourmet)?","Quali di questi prodotti surgelati consumeresti? (Puoi selezionare più opzioni) ","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La freschezza del prodotto acquistato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La provenienza della materia prima]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La velocità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La semplicità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il bilancio nutrizionale del prodotto]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti nuovi/innovativi]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Che il prodotto sia al naturale/poco lavorato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il prezzo]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti monoporzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [La provenienza da fonti sostenibili degli ingredienti (es. pesca certificata)]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il basso impatto ambientale della produzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il packaging eco-sostenibile ]"
"2024/11/24 11:38:10 AM CET","18-25 anni","Lombardia","Centro città","Uomo","4+","Studente","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Raramente/Mai","Supermercato","Più di 10€","Burger di pesce;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","4 - Abbastanza importante","1 - Non mi interessa","2 - Poco importante","5 - Molto importante","2 - Poco importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/24 11:39:37 AM CET","18-25 anni","Lombardia","Centro città","Uomo","2-3","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","A volte","Supermercato;Negozi specializzati (es. pescherie)","5-8€","Tartare pronte;Burger di pesce;Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 11:39:51 AM CET","18-25 anni","Veneto","Centro città","Donna","1","Studente","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato;Mercati locali","5-8€","Tartare pronte;Burger di pesce;Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","5 - Molto importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 11:48:20 AM CET","26-35 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","1 - Non mi interessa","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 11:49:38 AM CET","60-70 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","1","Lavoratore","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","Meno di 5€","Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 11:50:33 AM CET","18-25 anni","Lombardia","Periferia città","Donna","2-3","Studente","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","A volte","Supermercato","Meno di 5€","Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","1 - Non mi interessa","3 - Mediamente importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 11:50:54 AM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Studente","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Raramente/Mai","Supermercato","5-8€","Prodotti gratinati;Condimenti per pasta o riso;Spiedini di gamberi o molluschi","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 11:58:38 AM CET","18-25 anni","Lombardia","Periferia città","Donna","4+","Studente","Si","","Una volta ogni due mesi o meno","Piatti pronti a base di pesce (es. burger, mix, tartare)","Più di 60 minuti","Raramente/Mai","Supermercato","5-8€","Burger di pesce;Prodotti gratinati;Condimenti per pasta o riso","5 - Molto importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","5 - Molto importante","1 - Non mi interessa","5 - Molto importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:00:03 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Studente","No","Sono vegetariano/vegano","","","","","","","","","","","","","","","","","","",""
"2024/11/24 12:03:31 PM CET","70+ anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Pensionato","No","Hanno un prezzo troppo alto","","","","","","","","","","","","","","","","","","",""
